step,block_name,auc
11,U0R2,0.72910
11,U1R0,0.79715
11,U1R1,0.79844
11,U1R2,0.79231
11,U2R0,0.74124
11,U2R1,0.70964
11,U2R2,0.72568
11,U3R0,0.72780
11,U3R1,0.78464
11,U3R2,0.76247
12,D0R0,0.63934
12,D0R1,0.67072
12,D1R0,0.68923
12,D1R1,0.67307
12,D2R0,0.68558
12,D2R1,0.71990
12,D3R0,0.74289
12,D3R1,0.68605
12,MidR0,0.74679
12,MidR1,0.73193
12,U0R0,0.74113
12,U0R1,0.70940
12,U0R2,0.70350
12,U1R0,0.82262
12,U1R1,0.80941
12,U1R2,0.77639
12,U2R0,0.75410
12,U2R1,0.74136
12,U2R2,0.74348
12,U3R0,0.74419
12,U3R1,0.79738
12,U3R2,0.77486
13,D0R0,0.63498
13,D0R1,0.67673
13,D1R0,0.70303
13,D1R1,0.67933
13,D2R0,0.70692
13,D2R1,0.72001
13,D3R0,0.76047
13,D3R1,0.71081
13,MidR0,0.75304
13,MidR1,0.73582
13,U0R0,0.74596
13,U0R1,0.71105
13,U0R2,0.69784
13,U1R0,0.83842
13,U1R1,0.82580
13,U1R2,0.78913
13,U2R0,0.77533
13,U2R1,0.75351
13,U2R2,0.75032
13,U3R0,0.76471
13,U3R1,0.81142
13,U3R2,0.78724
14,D0R0,0.64442
14,D0R1,0.68829
14,D1R0,0.71754
14,D1R1,0.69253
14,D2R0,0.72013
14,D2R1,0.72485
14,D3R0,0.76754
14,D3R1,0.73877
14,MidR0,0.76106
14,MidR1,0.74549
14,U0R0,0.75315
14,U0R1,0.71707
14,U0R2,0.70728
14,U1R0,0.83996
14,U1R1,0.82592
14,U1R2,0.79361
14,U2R0,0.77356
14,U2R1,0.74643
14,U2R2,0.75044
14,U3R0,0.77497
14,U3R1,0.82003
14,U3R2,0.79031
15,D0R0,0.63993
15,D0R1,0.69973
15,D1R0,0.72473
15,D1R1,0.70775
15,D2R0,0.72402
15,D2R1,0.71223
15,D3R0,0.76731
15,D3R1,0.73971
15,MidR0,0.76000
15,MidR1,0.75834
15,U0R0,0.75893
15,U0R1,0.73582
15,U0R2,0.73499
15,U1R0,0.83394
15,U1R1,0.82050
15,U1R2,0.78795
15,U2R0,0.76849
15,U2R1,0.73487
15,U2R2,0.73853
15,U3R0,0.78830
15,U3R1,0.81495
15,U3R2,0.79408
16,D0R0,0.65468
16,D0R1,0.70598
16,D1R0,0.73004
16,D1R1,0.71659
16,D2R0,0.72556
16,D2R1,0.70209
16,D3R0,0.77120
