defect_type,step,auc,ci_low,ci_high,block_mode,block
physics,37,0.93205,0.88154,0.97723,perbest,MidR0
physics,38,0.93525,0.85920,0.98934,perbest,U0R1
physics,39,0.93525,0.88569,0.97491,perbest,MidR1
physics,40,0.93645,0.88013,0.97859,perbest,MidR1
physics,41,0.93325,0.87298,0.97792,perbest,MidR1
physics,42,0.93125,0.87069,0.98062,perbest,U2R0
physics,43,0.93046,0.87505,0.97590,perbest,D2R1
physics,44,0.93725,0.88255,0.97511,perbest,D2R1
physics,45,0.94524,0.91063,0.97960,perbest,D2R1
physics,46,0.94924,0.91636,0.98115,perbest,D2R1
physics,47,0.95244,0.92296,0.98163,perbest,D2R1
physics,48,0.95124,0.91447,0.98003,perbest,D2R1
physics,49,0.95164,0.90311,0.98657,perbest,MidR0
physics,50,0.94564,0.89029,0.98878,perbest,D3R0
text,1,0.96163,0.93931,0.97886,lstar,D0R1
text,2,0.96075,0.93974,0.97701,lstar,D0R1
text,3,0.96011,0.94012,0.97633,lstar,D0R1
text,4,0.95915,0.94150,0.97686,lstar,D0R1
text,5,0.95995,0.94056,0.97814,lstar,D0R1
text,6,0.96035,0.94158,0.97816,lstar,D0R1
text,7,0.96139,0.93873,0.97849,lstar,D0R1
text,8,0.96067,0.93880,0.97866,lstar,D0R1
text,9,0.96139,0.94129,0.97875,lstar,D0R1
text,10,0.96203,0.94314,0.97994,lstar,D0R1
text,11,0.96179,0.94250,0.97881,lstar,D0R1
text,12,0.96027,0.93836,0.97884,lstar,D0R1
text,13,0.95851,0.93764,0.97476,lstar,D0R1
text,14,0.95612,0.93295,0.97473,lstar,D0R1
text,15,0.95492,0.93235,0.97413,lstar,D0R1
text,16,0.95252,0.93028,0.97186,lstar,D0R1
text,17,0.95076,0.92628,0.97034,lstar,D0R1
text,18,0.94924,0.92493,0.97181,lstar,D0R1
text,19,0.94956,0.92464,0.97051,lstar,D0R1
text,20,0.95036,0.92310,0.97059,lstar,D0R1
text,21,0.95132,0.92915,0.97237,lstar,D0R1
text,22,0.95116,0.92919,0.97140,lstar,D0R1
text,23,0.95036,0.92717,0.97235,lstar,D0R1
text,24,0.94980,0.92717,0.97249,lstar,D0R1
text,25,0.94948,0.92577,0.96870,lstar,D0R1
text,26,0.94868,0.92100,0.97298,lstar,D0R1
text,27,0.94788,0.92149,0.96816,lstar,D0R1
text,28,0.94796,0.91903,0.96973,lstar,D0R1
text,29,0.94572,0.91766,0.96955,lstar,D0R1
text,30,0.94420,0.91551,0.96976,lstar,D0R1
text,31,0.94317,0.91108,0.96846,lstar,D0R1
text,32,0.94149,0.90764,0.96693,lstar,D0R1
text,33,0.93973,0.90051,0.96669,lstar,D0R1
text,34,0.93765,0.90843,0.96660,lstar,D0R1
text,35,0.93685,0.90384,0.96738,lstar,D0R1
text,36,0.93477,0.89581,0.96607,lstar,D0R1
text,37,0.93125,0.89795,0.96335,lstar,D0R1
text,38,0.92950,0.89066,0.96309,lstar,D0R1
text,39,0.92734,0.88036,0.96221,lstar,D0R1
text,40,0.92750,0.88106,0.95958,lstar,D0R1
text,41,0.92774,0.87928,0.96265,lstar,D0R1
text,42,0.92750,0.88205,0.96453,lstar,D0R1
text,43,0.92918,0.88376,0.96292,lstar,D0R1
text,44,0.92942,0.88521,0.96468,lstar,D0R1
text,45,0.92838,0.88436,0.96380,lstar,D0R1
text,46,0.92918,0.88574,0.96348,lstar,D0R1
text,47,0.93006,0.88243,0.96564,lstar,D0R1
text,48,0.93078,0.88523,0.97037,lstar,D0R1
text,49,0.93317,0.88865,0.96846,lstar,D0R1
text,50,0.93933,0.89767,0.97097,lstar,D0R1
text,1,0.96443,0.94040,0.98014,perbest,D1R1
text,2,0.96131,0.94177,0.98055,perbest,D1R1
text,3,0.96011,0.94138,0.97687,perbest,D0R1
text,4,0.96451,0.94340,0.98024,perbest,MidR0
text,5,0.96787,0.94618,0.98470,perbest,D3R0
text,6,0.96867,0.94750,0.98479,perbest,D3R0
text,7,0.96962,0.94966,0.98574,perbest,D3R0
text,8,0.96731,0.94647,0.98280,perbest,U3R1
text,9,0.96523,0.94330,0.98252,perbest,U3R1
text,10,0.96331,0.94180,0.98132,perbest,U3R1
text,11,0.96179,0.94164,0.97774,perbest,D0R1
text,12,0.96027,0.93958,0.97868,perbest,D0R1
text,13,0.95851,0.93833,0.97856,perbest,D0R1
text,14,0.95635,0.93181,0.97494,perbest,U0R1
text,15,0.95859,0.93596,0.97653,perbest,U0R1
text,16,0.95843,0.92484,0.98272,perbest,U3R1
text,17,0.95803,0.92541,0.98174,perbest,U3R1
text,18,0.95955,0.93954,0.97646,perbest,U0R1
text,19,0.95867,0.93964,0.97780,perbest,U0R1
text,20,0.96027,0.93792,0.97862,perbest,MidR0
text,21,0.96219,0.93891,0.98082,perbest,MidR0
text,22,0.96179,0.93952,0.97977,perbest,MidR0
text,23,0.96107,0.93645,0.98114,perbest,MidR0
text,24,0.95675,0.92920,0.97920,perbest,MidR0
text,25,0.95556,0.92729,0.97823,perbest,D1R1
text,26,0.95388,0.92431,0.97488,perbest,D1R1
text,27,0.95196,0.91978,0.97739,perbest,D1R1
text,28,0.95012,0.91769,0.97782,perbest,U3R0
text,29,0.95012,0.92286,0.97129,perbest,U3R0
text,30,0.94932,0.92120,0.97293,perbest,MidR1
text,31,0.94828,0.92316,0.97084,perbest,MidR1
text,32,0.94716,0.92211,0.97058,perbest,MidR1
text,33,0.94708,0.91984,0.96940,perbest,MidR1
text,34,0.94804,0.92392,0.97093,perbest,MidR1
text,35,0.94924,0.92236,0.96920,perbest,MidR1
text,36,0.94956,0.92430,0.97151,perbest,MidR1
text,37,0.94964,0.92026,0.97093,perbest,MidR1
text,38,0.94988,0.92199,0.97102,perbest,MidR1
text,39,0.94980,0.92387,0.97006,perbest,MidR1
text,40,0.94932,0.92387,0.97144,perbest,MidR1
text,41,0.94876,0.91814,0.96916,perbest,MidR1
text,42,0.94844,0.92677,0.97104,perbest,U3R0
text,43,0.94804,0.92556,0.96990,perbest,U3R0
text,44,0.94692,0.92017,0.97162,perbest,U3R0
text,45,0.94468,0.91677,0.97034,perbest,U3R0
text,46,0.94221,0.91359,0.96694,perbest,U3R0
text,47,0.93997,0.90762,0.96745,perbest,MidR1
text,48,0.94181,0.90485,0.97336,perbest,D2R1
text,49,0.94772,0.91273,0.97694,perbest,D2R1
text,50,0.95532,0.92563,0.97752,perbest,D2R0
