step,block_name,auc
11,U0R2,0.77343
11,U1R0,0.78392
11,U1R1,0.79960
11,U1R2,0.78685
11,U2R0,0.82164
11,U2R1,0.82277
11,U2R2,0.82595
11,U3R0,0.82673
11,U3R1,0.82877
11,U3R2,0.81176
12,D0R0,0.71253
12,D0R1,0.83789
12,D1R0,0.82420
12,D1R1,0.82134
12,D2R0,0.78559
12,D2R1,0.78643
12,D3R0,0.76671
12,D3R1,0.77481
12,MidR0,0.78882
12,MidR1,0.77731
12,U0R0,0.78852
12,U0R1,0.77574
12,U0R2,0.77187
12,U1R0,0.77456
12,U1R1,0.80620
12,U1R2,0.78486
12,U2R0,0.82369
12,U2R1,0.81927
12,U2R2,0.82481
12,U3R0,0.82288
12,U3R1,0.82657
12,U3R2,0.80938
13,D0R0,0.71761
13,D0R1,0.83560
13,D1R0,0.82293
13,D1R1,0.81320
13,D2R0,0.78514
13,D2R1,0.78473
13,D3R0,0.77166
13,D3R1,0.77747
13,MidR0,0.78435
13,MidR1,0.77798
13,U0R0,0.78704
13,U0R1,0.77413
13,U0R2,0.77964
13,U1R0,0.76873
13,U1R1,0.80867
13,U1R2,0.78366
13,U2R0,0.82718
13,U2R1,0.81634
13,U2R2,0.82599
13,U3R0,0.82323
13,U3R1,0.82788
13,U3R2,0.81193
14,D0R0,0.71697
14,D0R1,0.83383
14,D1R0,0.82325
14,D1R1,0.80521
14,D2R0,0.78325
14,D2R1,0.78247
14,D3R0,0.78008
14,D3R1,0.78164
14,MidR0,0.78054
14,MidR1,0.77994
14,U0R0,0.78785
14,U0R1,0.77750
14,U0R2,0.78767
14,U1R0,0.76361
14,U1R1,0.80787
14,U1R2,0.78285
14,U2R0,0.83008
14,U2R1,0.81583
14,U2R2,0.83222
14,U3R0,0.82347
14,U3R1,0.82893
14,U3R2,0.81064
15,D0R0,0.72095
15,D0R1,0.83256
15,D1R0,0.82495
15,D1R1,0.79827
15,D2R0,0.78096
15,D2R1,0.77684
15,D3R0,0.78350
15,D3R1,0.78389
15,MidR0,0.78347
15,MidR1,0.78102
15,U0R0,0.78408
15,U0R1,0.77582
15,U0R2,0.78850
15,U1R0,0.76173
15,U1R1,0.80620
15,U1R2,0.77629
15,U2R0,0.83127
15,U2R1,0.81615
15,U2R2,0.83264
15,U3R0,0.82194
15,U3R1,0.82759
15,U3R2,0.80490
16,D0R0,0.72208
16,D0R1,0.83152
16,D1R0,0.82557
16,D1R1,0.79262
16,D2R0,0.77849
16,D2R1,0.77185
16,D3R0,0.78190
16,D3R1,0.78405
16,MidR0,0.79215
16,MidR1,0.78570
16,U0R0,0.77933
16,U0R1,0.77760
16,U0R2,0.79253
16,U1R0,0.76503
16,U1R1,0.80582
16,U1R2,0.77846
16,U2R0,0.83046
16,U2R1,0.81545
16,U2R2,0.83308
16,U3R0,0.81997
16,U3R1,0.82202
16,U3R2,0.80049
17,D0R0,0.72442
17,D0R1,0.82845
17,D1R0,0.82495
17,D1R1,0.78759
17,D2R0,0.77981
17,D2R1,0.77034
17,D3R0,0.78175
17,D3R1,0.78567
17,MidR0,0.80063
17,MidR1,0.79235
17,U0R0,0.78007
17,U0R1,0.78118
17,U0R2,0.79858
17,U1R0,0.77688
17,U1R1,0.80348
17,U1R2,0.78007
17,U2R0,0.83041
17,U2R1,0.81612
17,U2R2,0.83214
17,U3R0,0.81685
17,U3R1,0.81734
17,U3R2,0.79754
18,D0R0,0.72611
18,D0R1,0.82641
18,D1R0,0.82404
18,D1R1,0.78592
18,D2R0,0.78126
18,D2R1,0.76617
18,D3R0,0.78347
18,D3R1,0.78705
18,MidR0,0.79995
18,MidR1,0.79679
18,U0R0,0.78190
18,U0R1,0.78269
18,U0R2,0.79691
18,U1R0,0.78597
18,U1R1,0.80022
18,U1R2,0.77957
18,U2R0,0.82840
18,U2R1,0.81484
18,U2R2,0.83105
18,U3R0,0.81290
18,U3R1,0.81379
18,U3R2,0.79457
19,D0R0,0.73421
19,D0R1,0.82248
19,D1R0,0.82240
19,D1R1,0.78314
19,D2R0,0.78218
19,D2R1,0.76028
19,D3R0,0.78613
19,D3R1,0.78704
19,MidR0,0.79831
19,MidR1,0.80206
19,U0R0,0.78591
19,U0R1,0.78417
19,U0R2,0.78946
19,U1R0,0.78933
19,U1R1,0.79850
19,U1R2,0.78059
19,U2R0,0.82568
19,U2R1,0.81398
19,U2R2,0.83211
19,U3R0,0.81134
19,U3R1,0.81042
19,U3R2,0.79210
20,D0R0,0.73531
20,D0R1,0.81959
20,D1R0,0.82159
20,D1R1,0.78148
20,D2R0,0.78234
20,D2R1,0.75294
20,D3R0,0.78656
20,D3R1,0.78549
20,MidR0,0.79740
20,MidR1,0.80394
20,U0R0,0.79180
20,U0R1,0.78619
